URL's,Title,H1 Texts,H2 Texts,HTML Size,Response Code,Download Time
https://www.dbizsolution.com/insights/,Insights – Dbiz Digital Biz Solutions,[],"['Articles', 'The rise of containers: innovation in digital engineering', 'The art and science of measuring ROI on digital transformation', 'Dynamics: the smart choice for enterprise app migration']",99830,200,2.9346463680267334
https://www.dbizsolution.com/,Dbiz Digital Biz Solutions,"['450+', '100+', '150+']","['Ideas into ', 'Existence ', 'Fast-track digital transformation', 'Blending art & engineering', 'A digital engineering partnership', 'No challenge too big', 'What we do for you', 'Product development', 'Platform engineering', 'Data architecture', 'Cloud engineering', 'Rapid application development', 'Experience design']",147269,200,4.247257947921753
https://www.dbizsolution.com/data-engineering-community/,Data Engineering Community – Dbiz Digital Biz Solutions,[],"['Data Engineering\n', 'community', 'Meet the crew!', 'Mastering the art of data alchemy', 'Tools']",134525,200,4.665545463562012
https://www.dbizsolution.com/d365-community/,D365 Community – Dbiz Digital Biz Solutions,[],"['D365\n', 'community', 'Meet the crew!', 'Redefining possibilities', 'Modules']",125366,200,4.402040958404541
https://www.dbizsolution.com/experience-design/,Experience Design – Dbiz Digital Biz Solutions,[],"['Experience Design \n', 'community', 'Meet the crew!', 'Experience design capabilities', 'Tools', 'Tools of the trade']",136882,200,4.850829839706421
https://www.dbizsolution.com/digital-communities/,Digital Communities – Dbiz Digital Biz Solutions,[],"['Digital', 'COMMUNITIES', 'Our internal communities', 'Product development', 'Experience design ', 'Cloud engineering', 'Data engineering', 'Platform engineering', 'Rapid Application Design (RAD)', '... and more coming!']",114028,200,4.991937875747681
https://www.dbizsolution.com/cloud-community/,Cloud Community – Dbiz Digital Biz Solutions,[],"['Cloud\n', 'community ', 'Meet the crew!', 'Innovative solutions for your cloud needs', 'Tools']",129416,200,5.0145583152771
https://www.dbizsolution.com/rad-community/,Rad Community – Dbiz Digital Biz Solutions,[],"['RAD', 'community', 'Meet the crew!', ""Unlocking Your Business's Full Potential\nwith Low-Code / R.A.D"", 'Accelerated Development', 'Flexibility and Agility', 'Collaboration and Efficiency']",127667,200,4.9095282554626465
https://www.dbizsolution.com/about-us/,About Us – Dbiz Digital Biz Solutions,"['450+', '100+', '150+']","['OUR', 'PHILOSOPHY', 'Scaling, nimbly', 'Art & engineering', 'Tech VS meets human', 'Global communities', 'An iterative journey', 'Culture & fit', 'Happy clients!']",122913,200,4.139001846313477
https://www.dbizsolution.com/product-engineering-community/,Product Engineering Community – Dbiz Digital Biz Solutions,[],"['Product Engineering\n', 'community', 'Meet the crew!', 'The power of inception', 'Tools']",188722,200,5.484418869018555
https://www.dbizsolution.com/who-we-are/,Who We Are – Dbiz Digital Biz Solutions,[],"['WHO\n', 'WE ARE', 'A digital buffet of solutions', 'Scaling, to the moon', 'All over the planet', 'Here for you']",106466,200,2.4202756881713867
https://www.dbizsolution.com/why-we-exist/,Why We Exist – Dbiz Digital Biz Solutions,[],"['WHY', 'WE EXIST', 'Cross functional team of artists and engineers', 'Prevention is better than cure', 'Exceeding expectations', 'Beyond the finish line']",106583,200,2.692943572998047
https://www.dbizsolution.com/2023/04/05/beyond-the-bottom-line-the-art-and-science-of-measuring-roi-on-digital-transformation/,The art and science of measuring ROI on digital transformation – Dbiz Digital Biz Solutions,['The art and science of measuring ROI on digital transformation'],['Leave a Reply Cancel reply'],107016,200,2.381777763366699
https://www.dbizsolution.com/2023/04/05/dynamics-the-smart-choice-for-enterprise-app-migration/,Dynamics: the smart choice for enterprise app migration – Dbiz Digital Biz Solutions,['Dynamics: the smart choice for enterprise app migration'],['Leave a Reply Cancel reply'],100926,200,2.330500364303589
https://www.dbizsolution.com/2023/04/12/the-rise-of-containers-how-innovation-is-changing-the-digital-engineering-space/,The rise of containers: innovation in digital engineering – Dbiz Digital Biz Solutions,['The rise of containers: innovation in digital engineering'],['Leave a Reply Cancel reply'],104908,200,2.7410292625427246
https://www.dbizsolution.com/contact-us/,Contact Us – Dbiz Digital Biz Solutions,['Contact Us'],[],93261,200,3.2484490871429443
URL's,Title,H1 Texts,H2 Texts,HTML Size,Response Code,Download Time
https://www.dbizsolution.com/digital-communities/,Digital Communities – Dbiz Digital Biz Solutions,[],"['Digital', 'COMMUNITIES', 'Our internal communities', 'Product development', 'Experience design ', 'Cloud engineering', 'Data engineering', 'Platform engineering', 'Rapid Application Design (RAD)', '... and more coming!']",114028,200,3.912682294845581
https://www.dbizsolution.com/insights/,Insights – Dbiz Digital Biz Solutions,[],"['Articles', 'The rise of containers: innovation in digital engineering', 'The art and science of measuring ROI on digital transformation', 'Dynamics: the smart choice for enterprise app migration']",99830,200,4.172914028167725
https://www.dbizsolution.com/rad-community/,Rad Community – Dbiz Digital Biz Solutions,[],"['RAD', 'community', 'Meet the crew!', ""Unlocking Your Business's Full Potential\nwith Low-Code / R.A.D"", 'Accelerated Development', 'Flexibility and Agility', 'Collaboration and Efficiency']",127667,200,4.306789398193359
https://www.dbizsolution.com/d365-community/,D365 Community – Dbiz Digital Biz Solutions,[],"['D365\n', 'community', 'Meet the crew!', 'Redefining possibilities', 'Modules']",125366,200,4.526534795761108
https://www.dbizsolution.com/experience-design/,Experience Design – Dbiz Digital Biz Solutions,[],"['Experience Design \n', 'community', 'Meet the crew!', 'Experience design capabilities', 'Tools', 'Tools of the trade']",136882,200,4.588193416595459
https://www.dbizsolution.com/about-us/,About Us – Dbiz Digital Biz Solutions,"['450+', '100+', '150+']","['OUR', 'PHILOSOPHY', 'Scaling, nimbly', 'Art & engineering', 'Tech VS meets human', 'Global communities', 'An iterative journey', 'Culture & fit', 'Happy clients!']",122913,200,4.650605916976929
neering', 'Data architecture', 'Cloud engineering', 'Rapid application development', 'Experience design']",147269,200,4.698748588562012
https://www.dbizsolution.com/cloud-community/,Cloud Community – Dbiz Digital Biz Solutions,[],"['Cloud\n', 'community ', 'Meet the crew!', 'Innovative solutions for your cloud needs', 'Tools']",129416,200,4.830715656280518
https://www.dbizsolution.com/product-engineering-community/,Product Engineering Community – Dbiz Digital Biz Solutions,[],"['Product Engineering\n', 'community', 'Meet the crew!', 'The power of inception', 'Tools']",188722,200,4.940362930297852
https://www.dbizsolution.com/data-engineering-community/,Data Engineering Community – Dbiz Digital Biz Solutions,[],"['Data Engineering\n', 'community', 'Meet the crew!', 'Mastering the art of data alchemy', 'Tools']",134525,200,5.749949216842651
https://www.dbizsolution.com/who-we-are/,Who We Are – Dbiz Digital Biz Solutions,[],"['WHO\n', 'WE ARE', 'A digital buffet of solutions', 'Scaling, to the moon', 'All over the planet', 'Here for you']",106466,200,2.582326650619507
https://www.dbizsolution.com/2023/04/12/the-rise-of-containers-how-innovation-is-changing-the-digital-engineering-space/,The rise of containers: innovation in digital engineering – Dbiz Digital Biz Solutions,['The rise of containers: innovation in digital engineering'],['Leave a Reply Cancel reply'],104908,200,2.142256736755371
https://www.dbizsolution.com/why-we-exist/,Why We Exist – Dbiz Digital Biz Solutions,[],"['WHY', 'WE EXIST', 'Cross functional team of artists and engineers', 'Prevention is better than cure', 'Exceeding expectations', 'Beyond the finish line']",106583,200,2.7225534915924072
https://www.dbizsolution.com/contact-us/,Contact Us – Dbiz Digital Biz Solutions,['Contact Us'],[],93261,200,2.7217226028442383
https://www.dbizsolution.com/2023/04/05/beyond-the-bottom-line-the-art-and-science-of-measuring-roi-on-digital-transformation/,The art and science of measuring ROI on digital transformation – Dbiz Digital Biz Solutions,['The art and science of measuring ROI on digital transformation'],['Leave a Reply Cancel reply'],107016,200,2.4742085933685303
https://www.dbizsolution.com/2023/04/05/dynamics-the-smart-choice-for-enterprise-app-migration/,Dynamics: the smart choice for enterprise app migration – Dbiz Digital Biz Solutions,['Dynamics: the smart choice for enterprise app migration'],['Leave a Reply Cancel reply'],100926,200,2.483109712600708
